text,count,mean_combined_score,std_combined_score,max_combined_score,mean_comp_deviation,mean_norm_shift,n_tokens,is_ner,category,compositionality,confidence
gun forward position),1,1.1271104381148074,0.0,1.1271104381148074,0.49853515625,1.957790743724518,3,True,technical_term,0.7,0.9
asylums,1,1.121819002518151,0.0,1.121819002518151,0.2734375,2.249249654732877,1,False,technical_term,0.8,0.95
began as an outdoor hearth,1,1.11344133530365,0.0,1.11344133530365,0.287109375,2.1564060726341245,5,True,compositional_phrase,1.0,0.9
inyon-juniper,1,1.105942746844954,0.0,1.105942746844954,0.2666015625,2.242517999924885,1,True,technical_term,0.7,0.9
", found on POSIX",1,1.1005248698777972,0.0,1.1005248698777972,0.2626953125,2.146331705944493,4,True,fragment,0.0,0.95
ény was first mentioned in,1,1.092129537203596,0.0,1.092129537203596,0.44873046875,1.9877701320714896,5,True,fragment,0.0,0.95
oietic stem cell,1,1.0886703930639348,0.0,1.0886703930639348,0.37890625,2.034664263909837,3,False,fragment,0.0,0.95
40 undergraduates,1,1.0842264497874865,0.0,1.0842264497874865,0.328125,2.074091515093716,2,True,compositional_phrase,1.0,0.9
game of each series.,1,1.0798134489823497,0.0,1.0798134489823497,0.558349609375,1.6874181439402491,4,True,compositional_phrase,1.0,0.9
"s, entering service in",1,1.076564730024124,0.0,1.076564730024124,0.4306640625,1.8861139734978096,4,False,fragment,0.0,0.95
30 mm.,1,1.0708484616233374,0.0,1.0708484616233374,0.42578125,1.9533662712458435,2,True,technical_term,1.0,0.95
ottier and starring,1,1.0663936136478085,0.0,1.0663936136478085,0.34228515625,1.9002979989632711,3,False,fragment,0.0,0.98
Travis' experimental serum,1,1.0587253843817557,0.0,1.0587253843817557,0.30517578125,2.0020380703293887,3,True,compositional_phrase,1.0,0.85
Sweetapple,1,1.054893739719318,0.0,1.054893739719318,0.601806640625,1.6536528063295457,1,True,named_entity,0.0,0.95
former racing driver.,1,1.0489477504673157,0.0,1.0489477504673157,0.32177734375,1.875238028512039,3,True,compositional_phrase,1.0,0.95
worldwide if the dubbed,1,1.045867088879016,0.0,1.045867088879016,0.23486328125,2.03129369876004,4,True,fragment,0.0,0.98
Pte) Roy Longmore,1,1.0413813195931825,0.0,1.0413813195931825,0.3232421875,1.9711290802329564,3,True,named_entity,0.0,0.95
.M. Coulter,1,1.0382549220237614,0.0,1.0382549220237614,0.47412109375,1.8208570316219037,2,True,named_entity,0.0,0.95
Staying Power,1,1.0343696753128997,0.0,1.0343696753128997,0.44384765625,1.6846180359384986,2,True,named_entity,0.0,0.9
atoru Nakajima,1,1.029213564850485,0.0,1.029213564850485,0.48486328125,1.676732642594962,2,True,named_entity,0.0,0.95
"charts, ""De lustigen",1,1.026305246527221,0.0,1.026305246527221,0.212890625,1.9416176085055523,3,True,fragment,0.0,0.98
Chittoor district,1,1.0227012709238867,0.0,1.0227012709238867,0.36669921875,1.863271731997217,2,False,named_entity,0.0,0.98
"6
 Der Ausgleich",1,1.019336583539361,0.0,1.019336583539361,0.220703125,1.9354874549421528,3,True,fragment,0.0,0.98
"countries

References",1,1.0175613766577976,0.0,1.0175613766577976,0.16845703125,1.963886351800744,2,True,fragment,0.0,0.98
and larger file size.,1,1.0135793171172929,0.0,1.0135793171172929,0.64501953125,1.4482244158401063,4,True,compositional_phrase,1.0,0.95
case is useful for restraining,1,1.0108858838219463,0.0,1.0108858838219463,0.31591796875,1.883293811117366,5,True,compositional_phrase,1.0,0.9
"United States
Baldwin",1,1.0085324695656062,0.0,1.0085324695656062,0.36328125,1.7653497286015152,3,True,fragment,0.0,0.98
edium grandiflorum,1,1.0037581927482966,0.0,1.0037581927482966,0.35302734375,1.8568075912457416,2,True,fragment,0.0,0.98
records were as follows:,1,0.999380260708155,0.0,0.999380260708155,0.41162109375,1.6341318041141373,4,True,fixed_expression,0.7,0.85
Le sourd,1,0.9973426472643584,0.0,0.9973426472643584,0.48486328125,1.6018160908171457,2,True,named_entity,0.0,0.95
98 patients.,1,0.9935951193860189,0.0,0.9935951193860189,0.543212890625,1.5378208062775471,2,True,compositional_phrase,1.0,0.95
", Saxony.",1,0.9897464722966358,0.0,0.9897464722966358,0.43505859375,1.596314422929089,2,True,fragment,0.0,0.98
'hôtel,1,0.986632288925054,0.0,0.986632288925054,0.37255859375,1.7056554293438848,1,True,fragment,0.0,0.98
s and business negotiations.,1,0.983697067861529,0.0,0.983697067861529,0.532958984375,1.5842426696538223,4,True,fragment,0.0,0.98
Mojave,1,0.9826790232948928,0.0,0.9826790232948928,0.46142578125,1.7297688472997317,1,True,named_entity,0.0,0.98
north of May.,1,0.9803182325294284,0.0,0.9803182325294284,0.28564453125,1.767140796167321,3,True,fragment,0.2,0.95
at the 201,1,0.978740616978396,0.0,0.978740616978396,0.47998046875,1.6298349408834898,3,True,fragment,0.1,0.98
It premiered on February,1,0.975764793597758,0.0,0.975764793597758,0.614990234375,1.4096878629006453,4,True,fragment,0.1,0.98
sapper with the,1,0.9730031158476234,0.0,0.9730031158476234,0.31591796875,1.7608769302440583,3,True,fragment,0.1,0.98
prominence,2,0.969779046319031,0.1579268958287414,1.1277059421477724,0.357177734375,1.7013641197038274,1,False,technical_term,0.8,0.9
ensembles,1,0.9669892688621132,0.0,0.9669892688621132,0.34375,1.7460864534052831,1,True,technical_term,0.9,0.9
near the top of,1,0.96531842430029,0.0,0.96531842430029,0.240234375,1.8783839513757248,4,True,fixed_expression,0.7,0.85
of Sport,1,0.9625017243987766,0.0,0.9625017243987766,0.13720703125,1.949345131309441,2,True,fragment,0.1,0.98
teacher. She revolutionized,1,0.9592797779859592,0.0,0.9592797779859592,0.4169921875,1.6554015934023978,3,False,fragment,0.1,0.98
of Art (CAA),1,0.957245968558228,0.0,0.957245968558228,0.18896484375,1.8507565229580696,3,True,named_entity,0.6,0.85
Swahili,1,0.955156927219752,0.0,0.955156927219752,0.3349609375,1.7566667321118794,1,True,named_entity,0.9,0.99
"Polish biofuels"".",1,0.9521576860659712,0.0,0.9521576860659712,0.50341796875,1.428428883133677,2,True,compositional_phrase,1.0,0.95
Fresno,1,0.9494954381194658,0.0,0.9494954381194658,0.41845703125,1.6643880093611645,1,True,named_entity,0.9,0.99
as Le membre du conseil,1,0.947850546170352,0.0,0.947850546170352,0.162109375,1.8454564435508805,5,True,fragment,0.2,0.95
American women singers,1,0.9447836250941832,0.0,0.9447836250941832,0.26611328125,1.8844200002354583,3,True,compositional_phrase,1.0,0.95
co-written and directed by,1,0.9423649756390556,0.0,0.9423649756390556,0.4375,1.545731775035139,4,True,fixed_expression,0.7,0.9
Friedjung,1,0.9405855978422551,0.0,0.9405855978422551,0.616455078125,1.435448369605638,1,True,named_entity,0.9,0.99
Arts in Literature.,1,0.938771081529314,0.0,0.938771081529314,0.547119140625,1.3514137878076595,3,True,fragment,0.2,0.95
law that list crimes against,1,0.9352670885984524,0.0,0.9352670885984524,0.3173828125,1.6495690886836312,5,True,fragment,0.2,0.95
. Old members of Jesus College,1,0.9335451035630836,0.0,0.9335451035630836,0.18603515625,1.811645962032709,6,True,fragment,0.2,0.95
Some Bizzare Records,1,0.9304441752201972,0.0,0.9304441752201972,0.2978515625,1.658507898987993,3,True,named_entity,0.5,0.95
zerbaijan.,1,0.9274970949326647,0.0,0.9274970949326647,0.3720703125,1.552934631862912,1,False,fragment,0.1,0.98
uele Anselmi,1,0.9254380314207832,0.0,0.9254380314207832,0.57421875,1.3338587504269577,2,True,fragment,0.1,0.98
Games took place on the,1,0.9233603697887828,0.0,0.9233603697887828,0.41064453125,1.5322778775969568,5,True,fragment,0.2,0.95
organs such as ministries,1,0.9208960830826352,0.0,0.9208960830826352,0.18701171875,1.863153293644088,4,False,compositional_phrase,1.0,0.95
"orth (Nyika),",1,0.9189814295875042,0.0,0.9189814295875042,0.2890625,1.8157641208437605,2,True,fragment,0.0,0.95
Bobruisk in 1,1,0.9173938611679932,0.0,0.9173938611679932,0.486328125,1.3341951021387328,3,True,compositional_phrase,1.0,0.8
28 Bucaspor.,1,0.915722248258246,0.0,0.915722248258246,0.43359375,1.4319447808018648,2,True,named_entity,0.9,0.85
for the new year.,1,0.9131938454750758,0.0,0.9131938454750758,0.5869140625,1.3079479925939392,4,True,fixed_expression,0.7,0.9
lpf.ro,1,0.910807100998258,0.0,0.910807100998258,0.529052734375,1.4084874790581448,1,True,named_entity,0.9,0.8
1993,1,0.909356960825113,0.0,0.909356960825113,0.38232421875,1.4735266794065325,1,True,named_entity,1.0,0.95
of the Earth into seism,1,0.9069435057651032,0.0,0.9069435057651032,0.6298828125,1.2737064206627575,5,True,fragment,0.0,0.95
chieta (SP-,1,0.9043713084137028,0.0,0.9043713084137028,0.3095703125,1.5454741694717569,2,False,fragment,0.0,0.95
amenne and Liège,1,0.902805860808756,0.0,0.902805860808756,0.359375,1.54510058952189,3,True,named_entity,0.8,0.8
auri A and B.,1,0.9009880863354944,0.0,0.9009880863354944,0.2705078125,1.591581543963736,4,True,fragment,0.0,0.95
-9 Sidewinder,1,0.8988566539649003,0.0,0.8988566539649003,0.36376953125,1.5238750333497508,2,True,technical_term,0.7,0.85
-11.,1,0.8969223020642947,0.0,0.8969223020642947,0.2412109375,1.5683555598482364,1,True,fragment,0.0,0.95
"7ton
Crew",1,0.8950721795340375,0.0,0.8950721795340375,0.27880859375,1.5818576949288436,2,True,fragment,0.0,0.95
17 knots,1,0.8924572363850742,0.0,0.8924572363850742,0.28515625,1.6536284425251857,2,True,technical_term,1.0,0.9
itis in 201,1,0.8905755923639069,0.0,0.8905755923639069,0.43408203125,1.370481949659767,3,True,fragment,0.0,0.95
"areena Kapoor,",1,0.8887893179192101,0.0,0.8887893179192101,0.4296875,1.4373053260480253,2,False,named_entity,0.9,0.85
"77, while Galway",1,0.8873150434137906,0.0,0.8873150434137906,0.2685546875,1.5465957140032265,3,True,fragment,0.0,0.95
video game series created by,1,0.8853601783125228,0.0,0.8853601783125228,0.48486328125,1.3473115785938068,5,True,fragment,0.0,0.95
Emirate,1,0.8837363273342491,0.0,0.8837363273342491,0.4306640625,1.391713865210623,1,True,technical_term,1.0,0.9
venomous,1,0.8829385949599201,0.0,0.8829385949599201,0.37841796875,1.5264382842748,1,True,technical_term,1.0,0.9
po/Socrate,1,0.8808385559951071,0.0,0.8808385559951071,0.518310546875,1.4110807649877672,1,True,fragment,0.0,0.95
21st-,1,0.8795884691914204,0.0,0.8795884691914204,0.3544921875,1.444271465947301,1,True,fragment,0.0,0.95
Hallowell,2,0.8776817443219417,0.0386514948287365,0.9163332391506782,0.3994140625,1.529531509242354,1,True,named_entity,1.0,0.95
"Wisconsin
Italianate",1,0.8757961893825912,0.0,0.8757961893825912,0.32470703125,1.5199348093939775,2,True,technical_term,0.7,0.8
1962 births,1,0.8737131312158638,0.0,0.8737131312158638,0.279296875,1.4813409335084096,2,True,technical_term,0.7,0.85
F. Ahmanson,1,0.8709160155469304,0.0,0.8709160155469304,0.29833984375,1.527631835742326,2,True,named_entity,0.0,0.95
would win the Belarus,1,0.8688432016526426,0.0,0.8688432016526426,0.2236328125,1.569019625225356,4,True,fragment,0.1,0.8
Arjun Rampal,1,0.8674802628506981,0.0,0.8674802628506981,0.458984375,1.346557102439245,2,True,named_entity,0.0,0.98
Cup in 1,1,0.8661145060379225,0.0,0.8661145060379225,0.427734375,1.306399546344806,3,True,fragment,0.1,0.85
Tunneling,1,0.8635163529184811,0.0,0.8635163529184811,0.345703125,1.4778826791712028,1,True,technical_term,0.7,0.9
-Ireland decider,1,0.8613314104870308,0.0,0.8613314104870308,0.40625,1.387581455905077,2,True,fragment,0.1,0.8
Capital Region of Denmark.,1,0.8593063726264012,0.0,0.8593063726264012,0.56298828125,1.071819398362878,4,True,named_entity,0.0,0.97
Nowy Staw,1,0.8566946855118197,0.0,0.8566946855118197,0.30712890625,1.527356830967049,2,True,named_entity,0.0,0.97
2016,1,0.8549293241201263,0.0,0.8549293241201263,0.3564453125,1.4121035837378155,1,True,named_entity,0.0,0.95
Foppone,1,0.8537008416465321,0.0,0.8537008416465321,0.42578125,1.4319815963038305,1,True,named_entity,0.0,0.97
0–170,1,0.8521227137498726,0.0,0.8521227137498726,0.24267578125,1.4442105929684317,1,True,fragment,0.1,0.85
–E regions may differ from,1,0.8492037201669105,0.0,0.8492037201669105,0.32763671875,1.434654808229776,5,True,fragment,0.1,0.8
Scarpa: Oscar,1,0.8477451910499761,0.0,0.8477451910499761,0.530029296875,1.1989528213749403,2,True,fragment,0.1,0.8
would finish his career playing for,1,0.8460690139610518,0.0,0.8460690139610518,0.30810546875,1.4520865974026294,6,True,compositional_phrase,1.0,0.9
miles to the south.,1,0.8450391495592123,0.0,0.8450391495592123,0.51708984375,1.1999391824917809,4,True,compositional_phrase,1.0,0.95
Kimara also worked with,1,0.843562241962378,0.0,0.843562241962378,0.3818359375,1.351398280687195,4,True,compositional_phrase,1.0,0.9
wrangling,1,0.8413954510009612,0.0,0.8413954510009612,0.37890625,1.405734721252403,1,True,technical_term,0.7,0.85
Greek revival architecture.,1,0.8395272441244681,0.0,0.8395272441244681,0.586181640625,1.0579550732017953,3,True,technical_term,0.7,0.95
1978,1,0.8375584736867986,0.0,0.8375584736867986,0.36328125,1.3448117115607463,1,True,named_entity,0.0,0.95
9 to 19,1,0.8358328050688542,0.0,0.8358328050688542,0.3408203125,1.3131537900158852,3,True,compositional_phrase,1.0,0.95
also appeared as Astrov in,1,0.834150961506231,0.0,0.834150961506231,0.30419921875,1.3534438100155772,5,True,compositional_phrase,1.0,0.9
pioneer of,1,0.8318347336592914,0.0,0.8318347336592914,0.19384765625,1.5312469903982282,2,True,fragment,0.1,0.8
Founded in 1,1,0.8302917414568214,0.0,0.8302917414568214,0.4140625,1.2201995684858034,3,True,fragment,0.1,0.8
1941.,1,0.829282775148724,0.0,0.829282775148724,0.31591796875,1.3390150433405597,1,True,named_entity,0.0,0.95
rench: Un oiseau,1,0.8274787164378823,0.0,0.8274787164378823,0.3388671875,1.2943437637509558,3,True,fragment,0.1,0.8
"""Ridge Racer",1,0.8249551417208489,0.0,0.8249551417208489,0.392578125,1.291819006645872,2,True,named_entity,0.0,0.95
Elder and,1,0.8230442024641051,0.0,0.8230442024641051,0.28076171875,1.3958063069415128,2,False,fragment,1.0,0.98
fer (170,1,0.8210214558133708,0.0,0.8210214558133708,0.3544921875,1.242067799689677,2,True,fragment,1.0,0.98
runs entirely in the municipality,1,0.8195690072384655,0.0,0.8195690072384655,0.1845703125,1.5081510337211637,5,True,compositional_phrase,1.0,0.95
Armentières,1,0.8176595747958054,0.0,0.8176595747958054,0.3681640625,1.3986411244895136,1,True,named_entity,0.0,0.98
particularly fine example of,1,0.8158367216657684,0.0,0.8158367216657684,0.1640625,1.6204023510394208,4,True,fixed_expression,0.7,0.9
Proteaceae and is endemic,1,0.8137430449637387,0.0,0.8137430449637387,0.4111328125,1.2054391553780968,4,True,fragment,1.0,0.98
United States Catholic Conference,1,0.8118246446119257,0.0,0.8118246446119257,0.2822265625,1.355306240436064,4,True,named_entity,0.0,0.98
"era, at an elevation",1,0.8100104244754271,0.0,0.8100104244754271,0.30078125,1.3389909049385675,4,True,fragment,1.0,0.98
3 under the leadership of,1,0.8082247669498058,0.0,0.8082247669498058,0.1318359375,1.5536429720620144,5,True,fragment,1.0,0.98
uris Vtriusque,1,0.8061675838485333,0.0,0.8061675838485333,0.224609375,1.5212783346213332,2,True,named_entity,0.0,0.85
Tauri A and B,1,0.8049914597041364,0.0,0.8049914597041364,0.45556640625,1.1837432976978408,4,True,named_entity,0.0,0.95
albums La vieille dame,1,0.8036587802891613,0.0,0.8036587802891613,0.189453125,1.3985512475979032,4,True,fragment,1.0,0.98
national cups.,1,0.8015512060483647,0.0,0.8015512060483647,0.4033203125,1.164644616683412,2,False,compositional_phrase,1.0,0.95
Atlantis. In,1,0.8001421553079587,0.0,0.8001421553079587,0.3994140625,1.1969496265511466,2,True,fragment,1.0,0.98
Basketball League,1,0.7984112760163845,0.0,0.7984112760163845,0.283203125,1.315730338478461,2,True,named_entity,0.0,0.95
ax shift of,1,0.7958600015111688,0.0,0.7958600015111688,0.353515625,1.331446878777922,3,True,technical_term,0.7,0.85
Uncle Vanya,1,0.7938206683039154,0.0,0.7938206683039154,0.306640625,1.3003475691972883,2,True,named_entity,0.0,0.98
James Stephens,1,0.7921541609661769,0.0,0.7921541609661769,0.30224609375,1.346718410227942,2,True,named_entity,0.0,0.98
"ésar Franck,",1,0.7908866698620033,0.0,0.7908866698620033,0.296875,1.3693065184050082,2,True,fragment,1.0,0.98
Berthier,2,0.7895434270157058,0.1842175104123317,0.9737609374280376,0.396240234375,1.1972472394142644,1,True,named_entity,0.0,0.98
angala; Srinivas,1,0.787592035714116,0.0,0.787592035714116,0.27734375,1.31279112444154,2,True,fragment,1.0,0.98
Villages in Konin,1,0.7846667963362467,0.0,0.7846667963362467,0.38916015625,1.1557587877156166,3,True,fragment,1.0,0.98
Strobus,1,0.7821645715369228,0.0,0.7821645715369228,0.40771484375,1.2553381866548068,1,True,named_entity,0.0,0.95
Summers.,1,0.7803882774003071,0.0,0.7803882774003071,0.29443359375,1.2864199122507678,1,True,named_entity,0.0,0.95
12 September,1,0.777042144351621,0.0,0.777042144351621,0.33154296875,1.2494901265040523,2,True,fixed_expression,0.9,0.95
a railway line in Belgium connecting,1,0.7753816278489608,0.0,0.7753816278489608,0.3642578125,1.2663349289974015,6,True,fragment,0.1,0.9
"2, the executive committee of",1,0.7736607205005536,0.0,0.7736607205005536,0.392578125,1.149727973126384,5,True,fragment,0.1,0.9
pool. The first swimmer,1,0.7721748897573639,0.0,0.7721748897573639,0.4111328125,1.2196217947059098,4,True,fragment,0.1,0.95
"Nova Scotia,",1,0.771097079992781,0.0,0.771097079992781,0.2509765625,1.3009116452944525,2,True,named_entity,0.0,1.0
services on the North Cornwall,1,0.769761541595877,0.0,0.769761541595877,0.2470703125,1.3898579555521922,5,True,fragment,0.1,0.9
for Girls in Hallowell,1,0.7686450725797763,0.0,0.7686450725797763,0.30126953125,1.2344178572306908,4,True,fragment,0.1,0.95
"areer 
Hitz",1,0.7675765211063097,0.0,0.7675765211063097,0.44873046875,1.132198138703274,2,True,fragment,0.0,0.95
a company that produces comedies,1,0.7654636132938357,0.0,0.7654636132938357,0.20556640625,1.433068212922089,5,False,compositional_phrase,1.0,0.95
"868), an English",1,0.7632334381253486,0.0,0.7632334381253486,0.2568359375,1.2732569351571212,3,True,fragment,0.1,0.95
Year of birth,1,0.7614253615067885,0.0,0.7614253615067885,0.35205078125,1.202147388141971,3,True,fixed_expression,0.8,0.95
Ngau Hom Tsuen,1,0.7599605214888613,0.0,0.7599605214888613,0.2412109375,1.354979428722153,3,True,named_entity,0.0,1.0
Ethiopian New Year,1,0.7580081610585692,0.0,0.7580081610585692,0.34375,1.1986092698339226,3,True,named_entity,0.0,1.0
"5,486,",1,0.756161986142968,0.0,0.756161986142968,0.28076171875,1.3220455903574202,1,True,fragment,0.1,0.95
Havilland,1,0.7543246837836436,0.0,0.7543246837836436,0.31298828125,1.2781456938341087,1,True,named_entity,0.0,1.0
majority have four-parted,1,0.7525635685040457,0.0,0.7525635685040457,0.12158203125,1.4082643900101144,3,True,compositional_phrase,1.0,0.9
-hand portion of which,1,0.7506943382456455,0.0,0.7506943382456455,0.24853515625,1.3200952206141137,4,True,fragment,0.1,0.95
", or
the",1,0.748406039073037,0.0,0.748406039073037,0.40625,1.1363959570575926,3,False,fragment,0.0,0.95
He worked at Rockwell International,1,0.7470231943470266,0.0,0.7470231943470266,0.24267578125,1.2355999780550664,5,True,fixed_expression,0.9,0.95
's extension between,1,0.7448686373945638,0.0,0.7448686373945638,0.3388671875,1.1223644645801594,3,True,fragment,0.1,0.95
2009 compilation albums,1,0.7426999870768631,0.0,0.7426999870768631,0.2802734375,1.1988520184734075,3,True,technical_term,0.7,0.9
Military personnel from Pennsylvania,1,0.7417657900144379,0.0,0.7417657900144379,0.44384765625,1.0438676000360947,4,True,technical_term,0.7,0.9
. He was a member of,1,0.7401179127212031,0.0,0.7401179127212031,0.33349609375,1.1680438052405075,6,True,fragment,0.1,0.95
prizes,1,0.7381420967307911,0.0,0.7381420967307911,0.22802734375,1.380755632451978,1,False,compositional_phrase,1.0,1.0
World War II,3,0.7370004100157823,0.1577219198863178,0.953012376477666,0.3326822916666667,1.150972704726956,3,True,named_entity,0.0,1.0
".G."" Quaritch",1,0.7356174056237658,0.0,0.7356174056237658,0.4443359375,0.9696587484344142,2,True,named_entity,0.0,0.95
Maine Industrial School for Girls,1,0.7344255240211811,0.0,0.7344255240211811,0.212890625,1.2554974038029525,5,True,named_entity,0.0,0.98
Caterina,1,0.7335976707162907,0.0,0.7335976707162907,0.408203125,1.0900976924157266,1,True,named_entity,0.0,0.97
Iberia,1,0.7318795082434447,0.0,0.7318795082434447,0.33203125,1.191515176858612,1,True,named_entity,0.0,0.97
57. Its five volumes,1,0.7304196270640007,0.0,0.7304196270640007,0.31396484375,1.1096794387537514,4,True,fragment,0.2,0.85
", and assigned to the",1,0.7287446005719792,0.0,0.7287446005719792,0.3076171875,1.1728136498674475,5,False,fragment,0.1,0.9
Phillip Danault,1,0.7275055563050317,0.0,0.7275055563050317,0.474609375,0.9171525626375792,2,True,named_entity,0.0,0.98
<s> The East Louisiana State Hospital,1,0.7261422841853018,0.0,0.7261422841853018,0.28173828125,1.1728996557757545,6,True,named_entity,0.0,0.98
non-physical,1,0.723779502740163,0.0,0.723779502740163,0.49267578125,1.0418706318504074,1,False,compound_word,0.7,0.92
", listed on the National Register",1,0.7223074748663769,0.0,0.7223074748663769,0.244140625,1.1656319684159422,6,True,fragment,0.1,0.9
1.1-mile,1,0.7211150535660248,0.0,0.7211150535660248,0.435546875,1.101127477665062,1,True,compound_word,0.7,0.9
It lies in the valley of,1,0.7195764660587921,0.0,0.7195764660587921,0.23388671875,1.2171540557719802,6,True,compositional_phrase,1.0,0.95
Macquarie,1,0.7178029729502652,0.0,0.7178029729502652,0.34228515625,1.165112901125663,1,True,named_entity,0.0,0.97
Part,1,0.716726320785905,0.0,0.716726320785905,0.14404296875,1.2925482238397623,1,True,fragment,0.1,0.85
also Swiss champion of acrob,1,0.7156549424355712,0.0,0.7156549424355712,0.60986328125,0.7421402857764278,5,True,fragment,0.1,0.85
", and was retired in",1,0.7147079726196807,0.0,0.7147079726196807,0.4677734375,0.9726830174867016,5,False,fragment,0.1,0.9
"the boy, possessing",1,0.7136168356020051,0.0,0.7136168356020051,0.22119140625,1.2824551749425126,3,False,fragment,0.2,0.85
Avalanche Studios,1,0.7118383230098344,0.0,0.7118383230098344,0.2939453125,1.180352643462086,2,True,named_entity,0.0,0.98
Eidson,1,0.7098941929584062,0.0,0.7098941929584062,0.3017578125,1.1332559902085155,1,True,named_entity,0.0,0.97
record label. In,1,0.708328674488183,0.0,0.708328674488183,0.412109375,0.9419032291892075,3,True,fragment,0.1,0.85
(or loose prisms,1,0.7062039086065047,0.0,0.7062039086065047,0.3046875,1.2362128965162618,3,False,fragment,0.2,0.85
It was serialized in,1,0.7043566493276423,0.0,0.7043566493276423,0.3125,1.168728537381606,4,False,fragment,0.2,0.85
"Low Rider"",",1,0.7025014832283807,0.0,0.7025014832283807,0.37939453125,0.9492468721334516,2,False,compound_word,0.5,0.9
It preserves fossils,1,0.700822617796827,0.0,0.700822617796827,0.33056640625,1.0970272476170675,3,True,compositional_phrase,1.0,0.95
Museum. A branch of,1,0.6991809314156869,0.0,0.6991809314156869,0.22802734375,1.1627472504142171,4,True,fragment,0.2,0.85
Danault,1,0.6966473968940875,0.0,0.6966473968940875,0.22705078125,1.1246140977039685,1,True,named_entity,0.0,1.0
"16, the city council",1,0.6951607311131398,0.0,0.6951607311131398,0.29052734375,1.1379262418453493,4,True,fragment,0.2,0.7
wearing a slouch hat.,1,0.6939820587089017,0.0,0.6939820587089017,0.48583984375,0.9683535842722544,4,False,compositional_phrase,1.0,0.95
ati Reds,1,0.6919738254998239,0.0,0.6919738254998239,0.22705078125,1.1815947199995596,2,True,fragment,0.1,0.7
3 to,3,0.6902032357390401,0.1599684630142092,0.8339836520220205,0.3113606770833333,1.0416295086184333,2,True,fragment,0.1,0.8
1207?),1,0.6888416885871592,0.0,0.6888416885871592,0.35888671875,1.011899143342898,1,True,fragment,0.0,0.9
"3, and Just Cause",1,0.687234339680138,0.0,0.687234339680138,0.28125,1.075751864825345,4,True,fragment,0.2,0.7
Deaths,1,0.6852344433449487,0.0,0.6852344433449487,0.28076171875,1.1400880614873716,1,False,technical_term,0.9,0.8
of the United States,1,0.6840105680917755,0.0,0.6840105680917755,0.47509765625,0.9242598186669388,4,True,fixed_expression,0.7,0.9
Monuments and memorials,1,0.6830879287780384,0.0,0.6830879287780384,0.25830078125,1.0581226539763458,3,False,compound_word,0.7,0.85
and must be resisted,1,0.6814291275927875,0.0,0.6814291275927875,0.25439453125,1.1785484049194686,4,True,compositional_phrase,1.0,0.95
"."" and concludes",1,0.6799776961018786,0.0,0.6799776961018786,0.193359375,1.2003104511921965,3,False,fragment,0.1,0.8
Bibliography,1,0.6786245839155705,0.0,0.6786245839155705,0.44921875,0.8587318699451764,1,True,technical_term,0.9,0.9
's Clay Court Championships,1,0.6773526717133524,0.0,0.6773526717133524,0.28466796875,1.0196756245958811,4,True,named_entity,0.0,0.95
E. Evans is Professor of,1,0.6763372730591177,0.0,0.6763372730591177,0.365234375,0.9672103701477942,5,True,fragment,0.2,0.7
PKM Urban Development Authority.,1,0.675197703093271,0.0,0.675197703093271,0.37255859375,0.9313414257019274,4,True,named_entity,0.0,0.95
the dockyard,1,0.6742102151867928,0.0,0.6742102151867928,0.1083984375,1.349343897341982,2,False,compound_word,0.7,0.85
