text,count,mean_combined_score,std_combined_score,max_combined_score,mean_comp_deviation,mean_norm_shift,n_tokens,is_ner
-Corruption,1,1.1485891873736829,0.0,1.1485891873736829,0.39599609375,2.2533089059342077,1,True
Ungarn,2,1.1484895381414773,0.0533632502677369,1.201852788409214,0.31884765625,2.2459797047286925,1,True
plays the character Rico Rodrigue,1,1.1476037338030018,0.0,1.1476037338030018,0.4990234375,2.018667537632504,5,True
ålerenga beat,1,1.1462750736322609,0.0,1.1462750736322609,0.4375,2.087001160643152,2,True
leave the starting block.,1,1.1461193078654637,0.0,1.1461193078654637,0.573486328125,1.8125028595074089,4,True
status change (),1,1.1459079136819057,0.0,1.1459079136819057,0.24853515625,2.254174081079764,3,True
", who came in 1",1,1.1448343018847889,0.0,1.1448343018847889,0.637451171875,1.800013000805722,5,True
trafficked,1,1.144809558805505,0.0,1.144809558805505,0.22314453125,2.379113740763762,1,True
the Emir who imprisoned,1,1.144788913667682,0.0,1.144788913667682,0.41015625,2.097567987294205,4,True
Ten locomotives,1,1.1447244567989705,0.0,1.1447244567989705,0.392578125,2.1036324310599257,2,True
bowstring' girder,1,1.1431632036561334,0.0,1.1431632036561334,0.2021484375,2.339231251327833,2,False
2008 Kontour,1,1.1429277301408285,0.0,1.1429277301408285,0.361328125,2.1334423722270706,2,True
", Arkansas, in 1",1,1.1424452959274138,0.0,1.1424452959274138,0.54931640625,1.8454931226310345,4,True
The Independent said Greene,1,1.14118180410382,0.0,1.14118180410382,0.3916015625,2.07963908057205,4,True
left for Beijing on September,1,1.1400026879957643,0.0,1.1400026879957643,0.731201171875,1.7190252746769104,5,True
of duty with the Canadian,1,1.139080294521252,0.0,1.139080294521252,0.31201171875,2.2021929238031306,5,True
abeba symbolizes,1,1.1381833670474506,0.0,1.1381833670474506,0.47900390625,2.010985761368626,2,True
prequel and part,1,1.138092945760088,0.0,1.138092945760088,0.57080078125,1.7921165196736577,3,False
aceous perennials,1,1.1377741308001597,0.0,1.1377741308001597,0.3466796875,2.209669702000399,2,True
rhizome,1,1.1377018053268335,0.0,1.1377018053268335,0.32275390625,2.248673458629584,1,False
. Marsh after 1,1,1.1372708441021055,0.0,1.1372708441021055,0.47802734375,2.048865586817764,4,True
state of mind.,1,1.136967532629516,0.0,1.136967532629516,0.55126953125,1.8204003989566024,3,True
Punishments,1,1.1367050921278967,0.0,1.1367050921278967,0.507080078125,1.9425928084447412,1,True
984 Fresno,1,1.1365884672159368,0.0,1.1365884672159368,0.3330078125,2.129435035227341,2,True
xton could be:,1,1.135995656445735,0.0,1.135995656445735,0.506103515625,1.867912725098712,3,False
to one of two District,1,1.1356768679535971,0.0,1.1356768679535971,0.482421875,1.9970290839464928,5,True
wore Black and White jerse,1,1.1354766608604694,0.0,1.1354766608604694,0.55224609375,1.8610305193386727,5,True
", and became a McDonald'",1,1.1351618037967646,0.0,1.1351618037967646,0.541259765625,1.846602019257536,5,True
"Norway. The 5,",1,1.1344043880262271,0.0,1.1344043880262271,0.50390625,1.958691634128068,3,True
Fargo. It manufactures,1,1.1332629853234455,0.0,1.1332629853234455,0.4365234375,2.032254142996114,3,True
–Moorhead,1,1.131532607274938,0.0,1.131532607274938,0.3828125,2.1708725338123447,1,True
apsing inwards.,1,1.1312620777909208,0.0,1.1312620777909208,0.55419921875,1.864349042133552,2,True
wemwenikarawa,1,1.1309324805145584,0.0,1.1309324805145584,0.698486328125,1.770324365348896,1,True
"short, curved tip.",1,1.1309152498097983,0.0,1.1309152498097983,0.4970703125,2.021501991711996,3,False
Verhältnis,1,1.128120217010013,0.0,1.128120217010013,0.3271484375,2.161120855025033,1,True
gun forward position),1,1.1271104381148074,0.0,1.1271104381148074,0.49853515625,1.957790743724518,3,True
(CPS).,1,1.126975019298308,0.0,1.126975019298308,0.20458984375,2.153527636136395,1,True
to yellow and hairy.,1,1.1259370409588303,0.0,1.1259370409588303,0.39404296875,2.1046375242720763,4,False
on Friday evenings,1,1.1256176999943104,0.0,1.1256176999943104,0.185546875,2.374713195298276,3,True
ipelagos,1,1.1252437777898296,0.0,1.1252437777898296,0.44140625,1.976927803849574,1,True
-round,1,1.1251989579351656,0.0,1.1251989579351656,0.27490234375,2.1672454417129137,1,True
scheme was proposed in,1,1.124912320914191,0.0,1.124912320914191,0.4892578125,1.984644083535477,4,False
alympic swimmers,1,1.1247854989530808,0.0,1.1247854989530808,0.55712890625,1.8860604270702013,2,True
played 29 March,1,1.1227923964040512,0.0,1.1227923964040512,0.38720703125,1.9647263523382523,3,True
1979.,1,1.1226300665636688,0.0,1.1226300665636688,0.3974609375,1.9331468216826095,1,True
and serves as the home of,1,1.1225091414134274,0.0,1.1225091414134274,0.31298828125,2.136350978533568,6,True
Moorhead,2,1.1221466433851923,0.028825123656856,1.1509717670420485,0.39306640625,2.119880768619231,1,True
asylums,1,1.121819002518151,0.0,1.121819002518151,0.2734375,2.249249654732877,1,False
Arkansas Tech University in 1,1,1.1217884795047153,0.0,1.1217884795047153,0.592529296875,1.7689792554024129,5,True
(7)-manifold,1,1.1209796572304476,0.0,1.1209796572304476,0.47607421875,1.9010819555761187,1,True
yon californicum,1,1.1208936389176196,0.0,1.1208936389176196,0.4716796875,1.944018765262799,2,True
: 7.9%),1,1.1203568007367088,0.0,1.1203568007367088,0.50390625,1.928089267466772,2,True
hot-rodded,1,1.1202292305109498,0.0,1.1202292305109498,0.48291015625,1.9886834278398744,1,False
to wait until 1,1,1.1175207714503048,0.0,1.1175207714503048,0.45556640625,1.9611603270632616,4,True
atelist and philanthrop,1,1.1174895830082492,0.0,1.1174895830082492,0.40771484375,1.9483870434581223,3,True
has a slate roof.,1,1.117157650019262,0.0,1.117157650019262,0.44970703125,2.1176011562981545,4,True
forums were prefaced,1,1.1167088918470718,0.0,1.1167088918470718,0.2099609375,2.2153562139926795,3,True
94 with the acclaimed,1,1.1156572504059945,0.0,1.1156572504059945,0.18701171875,2.140400450233736,4,True
"Air Arm, equipping",1,1.114358897004963,0.0,1.114358897004963,0.29150390625,2.115426051106157,3,True
causes massive tumors.,1,1.1137372952096791,0.0,1.1137372952096791,0.73046875,1.626628394274198,3,True
began as an outdoor hearth,1,1.11344133530365,0.0,1.11344133530365,0.287109375,2.1564060726341245,5,True
Pro Co's Kalamaz,1,1.1127222194433195,0.0,1.1127222194433195,0.51220703125,1.8189454411864232,3,True
of Catalonia,1,1.11226692994051,0.0,1.11226692994051,0.3017578125,2.1170931061012754,2,True
Entrance Examination,1,1.11174669664792,0.0,1.11174669664792,0.35009765625,2.1098110775573,2,True
University's foundation in,1,1.1109162129283072,0.0,1.1109162129283072,0.49755859375,1.985908696383268,3,True
Amfi (often called,1,1.11013821029301,0.0,1.11013821029301,0.28271484375,2.1498572444825244,3,True
7 to win the Beara,1,1.1080565898041503,0.0,1.1080565898041503,0.2021484375,2.219360224510376,5,True
one through four,1,1.107920844664806,0.0,1.107920844664806,0.21142578125,2.301174181974515,3,True
Jack Lenor Larsen,1,1.107901182977248,0.0,1.107901182977248,0.4208984375,1.95981643400562,3,True
for Nuclear Research,1,1.1074623420584353,0.0,1.1074623420584353,0.4453125,1.976419527021088,3,True
Jackie Burroughs,1,1.1072605473837365,0.0,1.1072605473837365,0.4345703125,1.9538203137718413,2,True
Inner Wound Recordings,1,1.1065366322688894,0.0,1.1065366322688894,0.265625,2.119002713484724,3,True
inyon-juniper,1,1.105942746844954,0.0,1.105942746844954,0.2666015625,2.242517999924885,1,True
High Energy Physics,1,1.1058248688044212,0.0,1.1058248688044212,0.30078125,2.1019645157610527,3,True
the spring semester.,1,1.1055845321417346,0.0,1.1055845321417346,0.59716796875,1.7501063498855864,3,True
"940, Puriri",1,1.1045223348751945,0.0,1.1045223348751945,0.33984375,2.0401144309379857,2,True
Belgian railway line,1,1.1031317287807387,0.0,1.1031317287807387,0.3857421875,2.0715500250768466,3,True
Hockey League (NHL).,1,1.1026583396415024,0.0,1.1026583396415024,0.34912109375,1.992180517072506,3,True
Beijings,1,1.1022599824699473,0.0,1.1022599824699473,0.33203125,2.192905815549868,1,True
incumbent,1,1.1021855109590897,0.0,1.1021855109590897,0.3623046875,1.9836742266164744,1,False
Bidens macroptera,1,1.1021507688623016,0.0,1.1021507688623016,0.53564453125,1.867925750280754,2,True
Cruising Range,1,1.1013167925473804,0.0,1.1013167925473804,0.4560546875,1.9298056532434509,2,True
Francis Younghusband,1,1.1012571856649596,0.0,1.1012571856649596,0.52587890625,1.8225399368186488,2,True
midfielder,1,1.101172771819401,0.0,1.101172771819401,0.4638671875,1.9337180623610024,1,True
", found on POSIX",1,1.1005248698777972,0.0,1.1005248698777972,0.2626953125,2.146331705944493,4,True
removed during the George Floyd,1,1.1003320717587688,0.0,1.1003320717587688,0.3037109375,2.084814554396922,5,True
angustifolium,3,1.1002251564027938,0.077767141472742,1.2008555504164653,0.6527506510416666,1.7561781253819848,1,True
inesweeping Flotilla,1,1.0993109695919443,0.0,1.0993109695919443,0.408203125,2.0041367989798604,2,True
Metro. It opened on,1,1.0973540176824257,0.0,1.0973540176824257,0.46337890625,1.9417493020185643,4,False
Jan Rombouts,1,1.0968870788690503,0.0,1.0968870788690503,0.3740234375,2.028106369047625,2,True
von Winkelried,1,1.0955874992220005,0.0,1.0955874992220005,0.515380859375,1.811844724617501,2,True
their parents and loved ones,1,1.0948100056154464,0.0,1.0948100056154464,0.2001953125,2.247034779663616,5,True
of St George. Sweetapple,1,1.0947827698499497,0.0,1.0947827698499497,0.38330078125,1.938433975406124,4,True
Liebes as a weaver,1,1.094153254913095,0.0,1.094153254913095,0.22509765625,2.0901194654077373,4,False
Monique Rolland.,1,1.0941017678642135,0.0,1.0941017678642135,0.38232421875,1.9371587165355333,2,True
basin,1,1.0934209770695291,0.0,1.0934209770695291,0.2021484375,2.263703809861323,1,False
One test driver in 1,1,1.0927522443489102,0.0,1.0927522443489102,0.48583984375,1.931953853059775,5,True
ény was first mentioned in,1,1.092129537203596,0.0,1.092129537203596,0.44873046875,1.9877701320714896,5,True
G. Stavridis,1,1.091665214003577,0.0,1.091665214003577,0.60400390625,1.7666386209464426,2,True
új-Zemplén,1,1.0915404628013718,0.0,1.0915404628013718,0.36767578125,2.078338461690929,1,True
hemian Baroque,2,1.0913742075941912,0.0277858623724742,1.1191600699666655,0.439208984375,1.8957633998448529,2,True
"Tranquil, Mississippi,",1,1.0912589602341105,0.0,1.0912589602341105,0.33447265625,1.9782084357415253,2,True
00 PM ET.,1,1.0909379037545603,0.0,1.0909379037545603,0.59326171875,1.6882212242301504,3,False
Acquapendente.,1,1.0908392169106764,0.0,1.0908392169106764,0.46826171875,1.8136153762610656,1,True
-Solway,1,1.090388223415507,0.0,1.090388223415507,0.48876953125,1.841021828070016,1,True
group was announced in November,1,1.0901118617537813,0.0,1.0901118617537813,0.500244140625,1.8619984043844533,5,True
St. Cuthbert,1,1.089669700667495,0.0,1.089669700667495,0.50830078125,1.8595502282312368,2,True
Reinforcements,1,1.089426582840165,0.0,1.089426582840165,0.23193359375,2.278009816475413,1,True
– 10 June,1,1.0893160316950985,0.0,1.0893160316950985,0.34228515625,2.052147501112745,3,True
oietic stem cell,1,1.0886703930639348,0.0,1.0886703930639348,0.37890625,2.034664263909837,3,False
the loss of the liner,1,1.0883269904005644,0.0,1.0883269904005644,0.3330078125,2.0242842728764106,5,True
"odino, Khripach",1,1.088322156090494,0.0,1.088322156090494,0.41796875,1.84266207967936,2,True
chengen zone in,1,1.0883135653319709,0.0,1.0883135653319709,0.39111328125,2.0153395773924268,3,True
.96 mas,1,1.088079381513635,0.0,1.088079381513635,0.32958984375,2.0964191569090875,2,True
Toledo Jeeps,1,1.0870631622142846,0.0,1.0870631622142846,0.396484375,1.9451359328794613,2,True
prison term and up to,1,1.0869685672613691,0.0,1.0869685672613691,0.17041015625,2.216322785340923,5,False
"Operation Just Cause"".",1,1.0864109867333918,0.0,1.0864109867333918,0.52783203125,1.710396973669417,3,True
people. Passed in,1,1.0860215308404562,0.0,1.0860215308404562,0.34814453125,1.9872095888198904,3,True
"Company Limited, also known as",1,1.085329986083479,0.0,1.085329986083479,0.33056640625,2.114203871458697,5,True
release of the EP Kontour,1,1.0852614559884943,0.0,1.0852614559884943,0.392578125,2.050433913408736,5,True
scholarships for disabled swimm,1,1.0850415589124496,0.0,1.0850415589124496,0.39306640625,1.938433975406124,4,True
-bearing mosquitos,1,1.0848067435523103,0.0,1.0848067435523103,0.51611328125,1.891582288568276,2,False
